Pqlc3,Pqlc3,5.24E-07,1.56E-05,2.37E+00,2.37E+00,4.42E+02,1.86E+02,
Spock2,Spock2,5.33E-07,1.58E-05,2.74E+00,2.74E+00,3.17E+02,1.16E+02,
Timp1,Timp1,5.53E-07,1.63E-05,4.16E+00,4.16E+00,3.41E+02,8.18E+01,
Mpl,Mpl,5.53E-07,1.63E-05,9.28E-02,-1.08E+01,5.37E+00,5.78E+01,
Dsp,Dsp,5.53E-07,1.63E-05,6.23E-01,-1.61E+00,4.91E+03,7.89E+03,
Slc16a3,Slc16a3,5.54E-07,1.63E-05,3.27E+00,3.27E+00,1.38E+02,4.22E+01,
Cfap45,Cfap45,5.55E-07,1.63E-05,4.78E+00,4.78E+00,7.26E+01,1.52E+01,
Erc1,Erc1,5.65E-07,1.65E-05,6.15E-01,-1.63E+00,4.88E+02,7.93E+02,
Hrc,Hrc,5.84E-07,1.70E-05,6.22E-01,-1.61E+00,8.26E+03,1.33E+04,
Ccl8,Ccl8,5.84E-07,1.70E-05,5.07E+00,5.07E+00,2.04E+02,4.02E+01,
Postn,Postn,5.87E-07,1.70E-05,5.76E+00,5.76E+00,3.44E+03,5.98E+02,
Bcat1,Bcat1,5.92E-07,1.72E-05,2.93E+00,2.93E+00,9.53E+01,3.25E+01,
Myo1c,Myo1c,5.94E-07,1.72E-05,1.64E+00,1.64E+00,3.29E+03,2.00E+03,
Sdk2,Sdk2,6.03E-07,1.74E-05,5.59E+00,5.59E+00,1.29E+02,2.31E+01,
Rab37,Rab37,6.15E-07,1.77E-05,3.04E+00,3.04E+00,1.56E+02,5.14E+01,
Arl4a,Arl4a,6.28E-07,1.80E-05,1.96E+00,1.96E+00,7.86E+02,4.02E+02,
Nsg1,Nsg1,6.28E-07,1.80E-05,1.82E+00,1.82E+00,4.45E+02,2.44E+02,
Slc25a17,Slc25a17,6.37E-07,1.82E-05,1.43E+00,1.43E+00,1.15E+03,8.04E+02,
Col4a1,Col4a1,6.45E-07,1.84E-05,2.41E+00,2.41E+00,4.12E+03,1.71E+03,
Inppl1,Inppl1,6.47E-07,1.85E-05,6.26E-01,-1.60E+00,4.61E+02,7.36E+02,
Pi16,Pi16,6.58E-07,1.87E-05,2.36E+00,2.36E+00,3.44E+03,1.46E+03,
Slc10a6,Slc10a6,6.63E-07,1.88E-05,2.87E+00,2.87E+00,4.25E+02,1.48E+02,
Fmo1,Fmo1,6.75E-07,1.91E-05,1.81E+00,1.81E+00,1.75E+03,9.65E+02,
Kcne3,Kcne3,6.76E-07,1.91E-05,6.75E+00,6.75E+00,4.71E+01,6.98E+00,
Asb15,Asb15,6.81E-07,1.92E-05,6.29E-01,-1.59E+00,4.25E+02,6.76E+02,
Gm7665,Gm7665,6.84E-07,1.93E-05,4.84E+00,4.84E+00,5.13E+01,1.06E+01,
Sprr2a2,Sprr2a2,6.86E-07,1.93E-05,6.83E+00,6.83E+00,3.14E+01,4.60E+00,
Lsp1,Lsp1,7.01E-07,1.97E-05,1.73E+00,1.73E+00,1.55E+03,8.96E+02,
Zfp57,Zfp57,7.04E-07,1.97E-05,3.31E+00,3.31E+00,8.57E+01,2.59E+01,
Rgs16,Rgs16,7.24E-07,2.02E-05,2.83E+00,2.83E+00,9.11E+01,3.22E+01,
H2-Ke6,H2-Ke6,7.36E-07,2.05E-05,6.21E-01,-1.61E+00,2.29E+02,3.68E+02,
Tesc,Tesc,7.54E-07,2.10E-05,4.26E-01,-2.35E+00,2.29E+02,5.36E+02,
Fxyd6,Fxyd6,7.65E-07,2.13E-05,1.82E+00,1.82E+00,2.37E+03,1.30E+03,
Fignl1,Fignl1,7.77E-07,2.15E-05,3.96E+00,3.96E+00,7.33E+01,1.85E+01,
Ddias,Ddias,7.85E-07,2.17E-05,6.33E+00,6.33E+00,3.64E+01,5.75E+00,
Ndc80,Ndc80,7.87E-07,2.17E-05,5.89E+00,5.89E+00,7.35E+01,1.25E+01,
Foxs1,Foxs1,7.99E-07,2.20E-05,2.41E+00,2.41E+00,2.12E+02,8.81E+01,
Myef2,Myef2,8.15E-07,2.24E-05,2.03E+00,2.03E+00,2.58E+02,1.27E+02,
Ggnbp1,Ggnbp1,8.22E-07,2.25E-05,6.38E-01,-1.57E+00,5.38E+02,8.42E+02,
Has1,Has1,8.25E-07,2.26E-05,6.38E+00,6.38E+00,6.11E+01,9.57E+00,
Rgs12,Rgs12,8.29E-07,2.27E-05,2.07E+00,2.07E+00,7.12E+02,3.43E+02,
Mustn1,Mustn1,8.31E-07,2.27E-05,1.92E+00,1.92E+00,6.11E+02,3.18E+02,
B4galt4,B4galt4,8.66E-07,2.36E-05,1.77E+00,1.77E+00,5.71E+02,3.22E+02,
Gm49909,Gm49909,8.85E-07,2.41E-05,2.00E+00,2.00E+00,3.61E+03,1.81E+03,
Zdhhc20,Zdhhc20,8.92E-07,2.42E-05,1.59E+00,1.59E+00,6.22E+02,3.91E+02,
Gm37795,Gm37795,9.27E-07,2.51E-05,2.33E+00,2.33E+00,1.77E+02,7.57E+01,
Sult1a1,Sult1a1,9.31E-07,2.51E-05,2.27E+00,2.27E+00,1.96E+03,8.64E+02,
Csgalnact1,Csgalnact1,9.39E-07,2.53E-05,1.68E+00,1.68E+00,2.95E+02,1.76E+02,
Gpt2,Gpt2,9.60E-07,2.58E-05,4.89E-01,-2.05E+00,2.62E+02,5.35E+02,
Strit1,Strit1,9.61E-07,2.58E-05,3.92E-01,-2.55E+00,8.20E+01,2.09E+02,
Ggta1,Ggta1,9.76E-07,2.62E-05,1.78E+00,1.78E+00,7.77E+02,4.36E+02,
Sh3bgr,Sh3bgr,9.91E-07,2.65E-05,5.65E-01,-1.77E+00,2.80E+03,4.95E+03,
Kctd11,Kctd11,9.99E-07,2.67E-05,2.07E+00,2.07E+00,3.56E+02,1.72E+02,
Ogfod2,Ogfod2,1.01E-06,2.68E-05,7.32E-01,-1.37E+00,7.14E+02,9.76E+02,
Ctla2a,Ctla2a,1.02E-06,2.70E-05,2.77E+00,2.77E+00,3.42E+03,1.23E+03,
Ass1,Ass1,1.02E-06,2.70E-05,2.02E+00,2.02E+00,4.87E+02,2.41E+02,
Peg12,Peg12,1.03E-06,2.72E-05,2.22E+00,2.22E+00,1.64E+02,7.42E+01,
Pkn3,Pkn3,1.03E-06,2.72E-05,1.68E+00,1.68E+00,4.20E+02,2.50E+02,
Npdc1,Npdc1,1.05E-06,2.76E-05,1.64E+00,1.64E+00,1.40E+03,8.53E+02,
Samd9l,Samd9l,1.09E-06,2.86E-05,2.14E+00,2.14E+00,3.93E+02,1.84E+02,
Gm13456,Gm13456,1.10E-06,2.88E-05,1.93E+00,1.93E+00,7.50E+02,3.90E+02,
Ank,Ank,1.12E-06,2.94E-05,7.13E-01,-1.40E+00,2.03E+03,2.85E+03,
Col4a2,Col4a2,1.12E-06,2.94E-05,2.44E+00,2.44E+00,3.22E+03,1.32E+03,
Zfp106,Zfp106,1.13E-06,2.96E-05,6.91E-01,-1.45E+00,4.60E+03,6.66E+03,
Nek6,Nek6,1.18E-06,3.07E-05,2.16E+00,2.16E+00,2.78E+02,1.29E+02,
Prkar1b,Prkar1b,1.18E-06,3.08E-05,2.24E+00,2.24E+00,1.77E+02,7.93E+01,
Tm4sf1,Tm4sf1,1.19E-06,3.10E-05,1.66E+00,1.66E+00,5.32E+03,3.20E+03,
Srpx2,Srpx2,1.21E-06,3.13E-05,2.31E+00,2.31E+00,6.94E+02,3.00E+02,
Coro1c,Coro1c,1.21E-06,3.13E-05,1.66E+00,1.66E+00,1.49E+03,8.98E+02,
Gm17029,Gm17029,1.21E-06,3.13E-05,2.18E+00,2.18E+00,1.96E+02,8.99E+01,
Retnla,Retnla,1.21E-06,3.13E-05,1.63E-01,-6.15E+00,1.57E+01,9.69E+01,
Glt8d2,Glt8d2,1.23E-06,3.17E-05,2.78E+00,2.78E+00,1.08E+02,3.88E+01,
Spc25,Spc25,1.26E-06,3.25E-05,4.18E+00,4.18E+00,1.16E+02,2.76E+01,
Msln,Msln,1.27E-06,3.27E-05,1.11E+01,1.11E+01,9.72E+02,8.76E+01,
Xirp2,Xirp2,1.28E-06,3.27E-05,5.84E-01,-1.71E+00,2.90E+03,4.96E+03,
Dynll1,Dynll1,1.29E-06,3.31E-05,1.46E+00,1.46E+00,2.71E+03,1.86E+03,
Pea15a,Pea15a,1.34E-06,3.41E-05,1.52E+00,1.52E+00,4.19E+03,2.75E+03,
Tnc,Tnc,1.34E-06,3.41E-05,4.74E+00,4.74E+00,1.18E+02,2.49E+01,
Cd68,Cd68,1.35E-06,3.43E-05,2.43E+00,2.43E+00,7.61E+02,3.13E+02,
Etv4,Etv4,1.36E-06,3.44E-05,7.89E+00,7.89E+00,3.02E+01,3.83E+00,
Arhgap1,Arhgap1,1.38E-06,3.49E-05,1.73E+00,1.73E+00,1.81E+03,1.05E+03,
Qsox1,Qsox1,1.45E-06,3.67E-05,1.87E+00,1.87E+00,2.77E+03,1.48E+03,
Tnfrsf1a,Tnfrsf1a,1.46E-06,3.68E-05,1.71E+00,1.71E+00,2.53E+03,1.48E+03,
Itgb6,Itgb6,1.47E-06,3.69E-05,4.22E-01,-2.37E+00,1.58E+02,3.74E+02,
Olfm2,Olfm2,1.47E-06,3.69E-05,1.80E+01,1.80E+01,2.92E+01,1.63E+00,
Tmem154,Tmem154,1.47E-06,3.69E-05,2.10E+00,2.10E+00,1.20E+02,5.72E+01,
Tnfaip1,Tnfaip1,1.47E-06,3.69E-05,1.64E+00,1.64E+00,4.77E+03,2.91E+03,
Foxm1,Foxm1,1.51E-06,3.78E-05,6.48E+00,6.48E+00,5.08E+01,7.84E+00,
Car5b,Car5b,1.56E-06,3.90E-05,3.10E+00,3.10E+00,6.44E+01,2.08E+01,
Tinagl1,Tinagl1,1.57E-06,3.92E-05,2.15E+00,2.15E+00,2.33E+03,1.08E+03,
Cyfip1,Cyfip1,1.58E-06,3.93E-05,1.40E+00,1.40E+00,1.57E+03,1.12E+03,
Ncstn,Ncstn,1.59E-06,3.96E-05,1.39E+00,1.39E+00,3.26E+03,2.34E+03,
Jag1,Jag1,1.60E-06,3.96E-05,1.77E+00,1.77E+00,6.59E+02,3.72E+02,
Raet1d,Raet1d,1.63E-06,4.03E-05,9.61E+00,9.61E+00,2.95E+01,3.07E+00,
Renbp,Renbp,1.64E-06,4.04E-05,1.90E+00,1.90E+00,2.84E+02,1.49E+02,
Pkia,Pkia,1.67E-06,4.11E-05,6.06E-01,-1.65E+00,1.91E+03,3.15E+03,
Klf10,Klf10,1.68E-06,4.14E-05,2.20E+00,2.20E+00,1.28E+03,5.84E+02,
Fbp2,Fbp2,1.70E-06,4.18E-05,5.13E-01,-1.95E+00,7.77E+02,1.51E+03,
Morf4l2,Morf4l2,1.75E-06,4.29E-05,1.44E+00,1.44E+00,2.93E+03,2.03E+03,
Gdpd2,Gdpd2,1.75E-06,4.29E-05,3.51E+01,3.51E+01,2.89E+01,8.23E-01,
1500011B03Rik,1500011B03Rik,1.79E-06,4.38E-05,2.20E+00,2.20E+00,1.63E+02,7.39E+01,
Cdca2,Cdca2,1.80E-06,4.39E-05,5.27E+00,5.27E+00,8.34E+01,1.58E+01,
1810055G02Rik,1810055G02Rik,1.83E-06,4.46E-05,1.69E+00,1.69E+00,5.90E+02,3.50E+02,
Trnp1,Trnp1,1.87E-06,4.55E-05,3.50E+00,3.50E+00,4.37E+01,1.25E+01,
Acss2,Acss2,1.89E-06,4.57E-05,6.60E-01,-1.52E+00,4.37E+02,6.62E+02,
Bdnf,Bdnf,1.89E-06,4.57E-05,5.74E-01,-1.74E+00,2.17E+02,3.78E+02,
Slc25a45,Slc25a45,1.92E-06,4.64E-05,2.02E+00,2.02E+00,2.89E+02,1.43E+02,
Anxa5,Anxa5,1.96E-06,4.73E-05,1.79E+00,1.79E+00,6.94E+03,3.88E+03,
Gm5637,Gm5637,2.01E-06,4.83E-05,2.32E+00,2.32E+00,9.98E+01,4.31E+01,
Gpx7,Gpx7,2.08E-06,5.00E-05,1.74E+00,1.74E+00,6.71E+02,3.85E+02,
Actb,Actb,2.14E-06,5.15E-05,1.52E+00,1.52E+00,7.12E+04,4.69E+04,
Asf1b,Asf1b,2.15E-06,5.15E-05,2.96E+00,2.96E+00,1.70E+02,5.73E+01,
Stk39,Stk39,2.17E-06,5.20E-05,1.50E+00,1.50E+00,1.38E+03,9.24E+02,
Ulbp1,Ulbp1,2.19E-06,5.22E-05,3.02E+00,3.02E+00,7.54E+01,2.50E+01,
Papss1,Papss1,2.32E-06,5.52E-05,1.75E+00,1.75E+00,4.66E+02,2.66E+02,
Ccl9,Ccl9,2.35E-06,5.59E-05,2.60E+00,2.60E+00,3.09E+02,1.19E+02,
Glipr2,Glipr2,2.35E-06,5.59E-05,2.05E+00,2.05E+00,3.50E+02,1.71E+02,
Nos2,Nos2,2.45E-06,5.80E-05,3.85E-01,-2.60E+00,1.21E+02,3.13E+02,
